"university","career","inscription_date","name","gender","age","postal_code","email"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS BIOLÓGICAS","2020-11-21","RICHARD BROOKS","M","1977-01-06","4640","JOHN54@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2021-02-25","DONALD BROWN","M","2015-01-07","1766","JOSEPHGUZMAN@YAHOO.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2021-06-21","NANCY COLLINS","F","1927-12-05","3230","BROWNKIRK@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2021-08-19","TIMOTHY BAKER","M","1917-04-13","1875","CMARTINEZ@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2019-11-16","LINDSAY LITTLE","F","1984-08-26","5447","XFARRELL@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2020-07-02","LORI RICH","F","1962-08-04","8412","JOHN53@YAHOO.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2021-03-11","JENNIFER TURNER","F","1910-12-04","4124","MATTHEW41@YAHOO.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2021-06-30","JOHN BERRY","M","1912-10-07","5303","FPACE@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS","2021-01-07","HEATHER ABBOTT","F","2010-05-31","2255","GREGORYJAMES@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2020-06-15","AMANDA BROWN","F","1919-11-02","4622","BENJAMINWELCH@GMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-06-02","ASHLEY BELL","F","1905-12-30","2764","DANIEL27@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2020-03-15","ALYSSA BOWERS","F","1999-07-23","1894","ROBERTABAKER@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2021-11-14","SAMUEL MCDONALD","M","1909-09-26","6228","GTATE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2019-10-14","ALISHA THOMPSON","F","2002-04-19","3474","ZACHARYWILKERSON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS BIOLÓGICAS","2020-03-22","AMANDA GIBSON","F","1979-06-04","6242","LHOWARD@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2021-09-04","HALEY GORDON","F","1922-02-21","3446","GJONES@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2020-05-03","ALAN OWENS","M","1955-05-14","7011","LAURA41@YAHOO.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2021-06-13","MARGARET PENA","F","1911-06-19","1815","VANESSA60@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS","2021-11-21","MELISSA SMITH","F","1995-05-15","1655","ADAMSJENNIFER@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2020-04-07","CATHERINE WOODWARD","F","2009-09-04","1875","SAMUEL73@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2019-11-23","DAVID CROSS","M","1978-09-27","6471","CHARLES30@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN TERAPIA OCUPACIONAL","2021-11-12","ROBERT GEORGE","M","1974-02-28","8111","KIMBROWN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2019-11-26","AUSTIN TAYLOR","M","1983-08-03","3054","JOHNNGUYEN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2021-02-15","GABRIEL CHRISTIAN","M","1912-03-26","8521","KEVINCALLAHAN@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2021-11-08","GARY TODD","M","1964-05-22","5407","MITCHELLMELISSA@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2019-12-19","ADAM HERNANDEZ","M","2011-07-02","4634","JOSEPHMUELLER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2020-11-11","MELANIE DIAZ","F","1952-05-19","3620","KJONES@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-03-25","JOYCE GOLDEN","F","2019-03-08","3384","WILLIAMSKARINA@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2021-01-16","CHRISTIAN REEVES","M","1906-04-14","3565","FPATEL@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2020-03-24","MARTIN HORTON","M","1965-08-20","7519","AMBERWOLFE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-10-15","MARY WARREN","F","1926-01-23","8307","ELLISBENJAMIN@GMAIL.COM"
"UNIVERSIDAD DE FLORES","FARMACIA","2021-09-17","TRACY NGUYEN","F","1909-05-10","3585","JUSTIN11@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS BIOLÓGICAS","2021-09-03","MICHELLE LOPEZ","F","1983-04-05","6003","HANNAH76@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2020-06-07","MARK RUIZ","M","2015-08-27","6550","KFREY@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-08-01","PHILLIP FERGUSON","M","1999-01-18","2401","KNOXROBIN@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2020-08-02","DEVON BARRETT","M","1963-03-18","8500","GRAVESMANUEL@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2020-04-07","ROBERT FRANCIS","M","1971-06-16","3311","MARY67@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2020-08-01","BRANDY WALSH","F","1954-02-09","2177","BARBARA74@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2021-06-28","JULIE SMITH","F","1907-08-12","2914","ZWILLIAMS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2021-12-25","TODD DAWSON","M","1972-10-15","5300","SABRINATURNER@YAHOO.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2021-04-06","KENNETH GRAVES","M","1941-10-06","3003","MARK94@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2019-10-11","DEREK HAHN","M","1916-12-13","3061","ELIZABETHREYES@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2021-01-27","MARY BENJAMIN","F","1973-08-08","8373","STEPHENLEE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN TERAPIA OCUPACIONAL","2019-10-26","GARY ROBINSON","M","1978-07-12","9405","ISIMON@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2021-10-10","NICHOLAS WILLIAMS","M","1984-02-09","3428","COOPERJEFFREY@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2020-10-22","BOBBY GONZALES","M","1966-05-05","3044","VERONICA95@GMAIL.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-12-06","EDWARD HAYES","M","1907-12-13","2401","RACHEL03@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2020-03-13","JAMES WILSON","M","1947-02-02","3261","PAULAHANSEN@YAHOO.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2021-09-01","KAREN HILL","F","1966-10-05","1909","ADAMKING@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2020-03-18","NICOLAS PATTERSON","M","1924-01-11","4512","DOUGLASDUNN@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2021-10-10","KEVIN CLAY","M","1919-12-07","3405","ALVARADOMICHAEL@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN TERAPIA OCUPACIONAL","2020-03-09","JONATHON GREEN","M","1946-01-04","3550","JEREMIAHHOGAN@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS","2020-08-26","JOHN FOSTER","M","1969-09-12","7303","BRANDIMORTON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2021-09-07","ALEX ALVARADO MD","M","2004-08-05","8324","GWALKER@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2020-04-16","LINDA ATKINS","F","1988-03-02","6455","SCOTT98@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2020-03-26","DONALD PERRY","M","1936-02-06","3485","BRIGHTPEDRO@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS","2020-03-10","DEAN WOLFE","M","1959-09-30","1663","WILLIAM10@GMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2021-10-18","SHANNON MALONE","F","1964-05-15","3009","HECTOR27@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2021-07-17","MEGAN HORTON","F","1963-10-13","9300","LAWRENCETHOMAS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2019-10-22","THOMAS PERRY","M","1943-11-07","3016","JANETJOHNSTON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2020-11-25","JAMIE GONZALES","F","2020-01-25","4724","KIMJEFFREY@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2021-01-03","DEBBIE FRITZ","F","1920-02-03","3309","AARON34@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2020-10-13","JESSICA HENDRICKS","F","1952-02-17","2707","BRETTPORTER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2021-09-14","TERRI WISE","F","2003-10-06","5306","JOHNNY87@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2021-06-25","JOSEPH CASTANEDA","M","1918-07-19","3716","XWHITE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS","2020-09-01","JENNIFER DAUGHERTY","F","1913-04-12","3009","KATHLEEN46@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2020-02-11","BRIAN BAKER","M","1965-11-12","1846","EPUGH@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2021-08-18","FAITH PERRY","F","1986-02-17","6380","MATTHEW80@YAHOO.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2021-02-18","RYAN BARNETT","M","2018-10-20","5500","JEREMY90@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2020-11-11","BRIAN TAYLOR","M","1953-05-09","2840","KATHERINE53@GMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2020-08-16","DR. ANDREW LOPEZ MD","M","1972-06-13","1727","MATTHEWWILLIAMS@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2021-06-03","LISA ALLEN","F","1976-05-31","3107","WATSONBETTY@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2019-10-09","GREGORY MEJIA","M","1934-06-30","5500","TANDERSON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2020-07-03","DOUGLAS PAYNE","M","1906-01-23","1927","TAMMY87@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2020-07-13","BRANDON SMALL","M","2006-09-12","4115","LSAMPSON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2021-12-11","ASHLEY HERNANDEZ","F","1986-08-27","2848","PITTSJAMES@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2020-01-11","WILLIAM TAYLOR","M","1921-09-04","3302","RHOLLAND@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2020-09-26","JOHN DALTON","M","1990-11-17","7153","JOSHUA85@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2020-08-02","BRENDA ANDERSON","F","1954-11-22","2142","GUERRERORILEY@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2020-06-05","MANUEL GORDON","M","1931-07-25","6746","TAMARAWOLF@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","AGRONOMÍA","2021-03-24","KEVIN MARSH","M","1996-06-07","3357","TIMOTHYSIMMONS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN TERAPIA OCUPACIONAL","2019-10-13","NICHOLAS RILEY","M","1913-04-27","1812","MARGARETDAY@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-07-27","BRIANNA PEREZ","F","1914-12-16","3718","EBLACK@GMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2019-10-06","JACOB ALLEN MD","M","2015-07-30","3151","AMYPEREZ@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN RELACIONES DEL TRABAJO ","2020-09-19","SHELLEY WEBB","F","2013-07-28","9225","RYANMOORE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2020-05-10","YVONNE JOHNSON","F","1996-02-05","5577","SILVAWILLIAM@GMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2020-05-08","CRYSTAL NUNEZ","F","1980-05-25","4122","WELLSANNE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-08-02","CASEY ANDRADE","F","2008-10-20","2405","ROBERTDAVIS@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2021-12-06","CHRISTOPHER BEASLEY","M","1954-06-14","4103","JOELWALKER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2020-08-18","KAREN JOHNSON","F","1992-04-05","4743","MICHAEL60@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2021-12-24","WILLIAM RIOS","M","2019-07-22","6361","ERAY@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2021-02-17","THERESA LOPEZ","F","1985-12-18","2309","ZYOUNG@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2020-04-14","JOHN MOLINA","M","1915-02-01","5360","JOHNNYGONZALES@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2021-09-18","COURTNEY GOOD","F","2010-12-08","4650","BARBARA83@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2021-01-27","ROBERT HANSON","M","1943-11-22","2115","SNELSON@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2021-10-12","LAURIE REYES","F","1950-08-06","4651","RPATEL@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2020-10-24","HOLLY NEAL","F","1943-12-13","2506","DONALD88@YAHOO.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2020-02-11","KATHLEEN SWANSON","F","1993-06-14","3361","DEREKSINGH@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2021-02-04","EMILY HALL","F","1910-07-16","4504","EDWARDSLISA@YAHOO.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2020-03-16","NOAH CHANDLER","M","1919-04-08","5438","GWILLIAMS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2021-09-15","SANDRA CHAMBERS","F","2010-04-29","5304","QLAWRENCE@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2019-10-20","SUSAN MURRAY","F","1979-06-01","8375","JAMESJACKSON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2021-09-07","KAYLA WALL","F","1963-11-21","7116","MORALESLISA@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2021-06-27","PETER SMITH","M","2000-11-15","1927","WRIGHTADAM@GMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2021-10-12","ROBERT FRY","M","1983-01-21","3474","RSMITH@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-08-03","BRENDA WILSON","F","1965-06-11","3734","AHIGGINS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO INDUSTRIAL","2021-09-10","HENRY HART","M","1978-02-23","2103","MADDENJOSEPH@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2021-05-22","ANGELA RAMIREZ","F","1943-11-09","3466","PPHELPS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2021-04-14","WILLIAM HAYES","M","1921-02-05","7531","SANDERSTIMOTHY@YAHOO.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-10-09","ANNE BROOKS","F","1918-09-24","6608","WALLACESTEPHANIE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2020-06-22","MARY BROOKS","F","1931-04-17","6339","PATRICK60@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2021-01-15","AUSTIN SANTOS","M","2016-08-02","3134","HERNANDEZSHEILA@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2020-06-24","PATRICIA ANDERSON","F","2006-01-29","3216","YWILLIAMS@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2021-03-09","SARAH MYERS","F","1978-02-09","6652","ETHANHAWKINS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2021-09-14","MICHAEL JOSEPH","M","2000-08-17","3083","KELLYKELLY@GMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO INDUSTRIAL","2020-06-30","CHARLES DOMINGUEZ","M","1917-04-12","5303","ERICHUGHES@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2021-04-25","RANDALL SUTTON","M","1952-03-19","1849","THERESA21@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2020-02-23","NICOLE DAVIS","F","1937-10-18","5871","NNELSON@YAHOO.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-11-12","AMANDA THOMAS","F","1968-11-16","1771","CANNONPENNY@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2020-03-25","LISA PETERSON","F","1974-02-04","6417","QSULLIVAN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2021-06-09","JORDAN FERGUSON","F","2004-07-24","5595","ADAMSDAVID@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2021-07-30","NICOLE KLINE","F","2013-07-09","4134","VALENZUELAROBERT@GMAIL.COM"
"UNIVERSIDAD DE FLORES","FARMACIA","2020-06-20","DAVID WHITAKER","M","1927-03-06","8373","WYATTJEROME@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2019-11-18","JACKIE KIRK","F","2004-07-02","8206","PHAYDEN@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2021-11-10","LINDA HENSLEY","F","1924-08-03","6326","TIMOTHYMORA@GMAIL.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-01-10","MICHAEL CLARK","M","1925-01-27","3080","RICARDOREED@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2020-02-28","SAMUEL DAVIS","M","1957-02-28","6407","MARYSOTO@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2021-02-19","RICHARD WRIGHT","M","1941-12-09","1836","JEFFREY80@GMAIL.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2021-03-06","ANNA BARRETT","F","1984-11-20","1885","LPARK@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2019-10-02","ANDREA GROSS","F","1985-12-06","3155","AMARSHALL@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2020-12-12","HANNAH GARCIA","F","1920-05-09","3254","SEAN08@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2021-05-11","CHRISTOPHER JONES","M","2006-05-14","1911","LUKE53@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2019-10-10","THOMAS SPARKS","M","1940-07-11","3733","MURPHYTYRONE@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2019-12-05","BONNIE SCOTT","F","1967-12-23","3036","OLIVIAWALSH@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2020-09-02","AMANDA SMITH","F","1956-11-25","3371","BALDWINFRANCES@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ","2019-12-28","MARTIN JOHNSON","M","2015-02-25","6405","SHIRLEYDOUGLAS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2019-12-07","CHRISTOPHER MORRIS","M","1950-03-31","1888","JENNIFERMANNING@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2021-01-23","ASHLEY ROGERS","F","1970-11-13","2804","MARTHA11@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2021-02-28","MARTIN SULLIVAN","M","1935-10-26","3730","WINTERSKAITLYN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2020-06-05","JAMES WILLIS","M","2008-10-13","3133","YMARKS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2021-08-24","BRENT VASQUEZ","M","2015-05-12","3054","VICTOR04@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2021-04-12","MARK WALKER","M","1906-06-23","2401","WILLIAMMCDANIEL@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-07-09","SARA LOPEZ","F","2016-07-09","3382","CLARKEASHLEY@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS","2020-11-12","MARK DAVIS","M","2010-04-30","5306","QCOMBS@YAHOO.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2021-07-03","JOSEPH WOLF","M","1963-10-19","3583","JULIE85@GMAIL.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2021-01-05","JUSTIN BARKER","M","1907-05-13","2520","JILL96@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2019-11-03","MEGAN CHAVEZ","F","1977-03-18","1846","ROY76@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-02-16","KAITLYN PATTERSON MD","F","1909-07-02","1903","BWALKER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2021-09-09","ALLISON MCCOY","F","1928-03-28","3208","MICHELLEWILSON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2021-11-11","GABRIELLA GOOD","F","2020-07-08","3041","MICHAELHERNANDEZ@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2020-11-05","CINDY LEE","F","2017-12-20","6701","LISA81@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-02-26","ANGELA THOMAS","F","1949-01-06","5587","MELANIE25@GMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-09-19","SUMMER PARKER","F","1962-11-10","2717","PATRICIAHALL@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-11-22","LINDA JAMES","F","1968-12-10","6005","MIKE63@HOTMAIL.COM"
